name,description,voting,duration,view,status,genre,director,country,follower,quality,rating,studio,season,year,type
Kiếm Vực Phong Vân,"Trên Kiếm vực đại lục xa xưa, có mười thanh kiếm thần và năm đại gia tộc, Lữ Dương hậu duệ của Lữ gia một trong năm đại gia tộc trong thời khắc chạy trốn truy sát đã thức tỉnh ""Đào Thần kiếm"". Để tránh khỏi truy sát, hắn đã giấu tài, khắc khổ tu luyện, báo thù cho mẹ, thăm dò chân tướng, hoà giải tranh đấu giữ các đại gia tộc, cuối cùng xưng bá thiên hạ thập kiếm, vấn đỉnh ngôi báu kiếm vực đại lục.",0.83,92 tập,1087659,Phim đang chiếu,"['Fantasy', 'Adventure', 'Martial Arts', 'Action']",Đang cập nhật,Trung Quốc,1323,HD,PG-13 - Teens 13 tuổi trở lên,Ruo Hong Culture,Mùa Thu,2021,Anime bộ
Phòng Ngự Toàn Khai,"Lý Tiểu Bạch đắm chìm trong trò chơi nhập vai Tiên Linh Đại Lục, bái nhập Tiên Vũ Tông của Bắc Vực, trở thành đệ tử thứ bảy của Phong Linh Tử trên Phiêu Miểu Phong. Nhưng vì bị một người nào đó sửa đổi hệ thống, dẫn tới bị kẹt trong trò chơi, chỉ có hoàn thành nhiệm vụ cuối cùng là ""cứu vớt thế giới"" mới có thể rời khỏi.",0.46,60 tập,226378,Phim đang chiếu,['Cartoon'],Đang cập nhật,Trung Quốc,207,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,Mùa Xuân,2022,Anime bộ
Võ Thần Chúa Tể,"Thiên Vũ đại lục nhất đại truyền kỳ Tần Trần, bởi vì bạn tốt phản bội bất ngờ ngã xuống Võ vực. 300 năm sau, hắn chuyển sinh thành một con riêng ở một vương phủ phải chịu đủ mọi ức hiếp lên người, lợi dụng trình độ kiếp trước, ngưng thần công, luyện thần đan, đi ngược lên trời, quật khởi mạnh mẽ, từ đây bước lên một đoạn khiếp sợ đại lục kinh thế lữ trình.Đẳng cấp tu vi: Nhân cấp - Địa cấp - Thiên cấp - Huyền cấp - Võ Tông - Võ Tôn - Võ Vương - Võ Hoàng - Võ Đế - Phàm Thánh - Thánh - Thiên Thánh - Thánh Chủ - Tôn Giả - Chí Tôn (Mỗi cấp phân làm bán bộ - sơ kỳ - sơ kỳ đỉnh phong - trung kỳ - trung kỳ đỉnh phong - hậu kỳ - hậu kỳ đỉnh phong) Thánh cấp có thể phá nát hư không, phi thăng thiên giới.",0.82,chưa rõ,5770204,Phim đang chiếu,"['Fantasy', 'Drama', 'Historical', 'Martial Arts', 'Action']",Đang cập nhật,Trung Quốc,6098,HD,Đang cập nhật,Ruo Hong Culture,Mùa Thu,2020,Anime bộ
Thanh Liên Kiếm Tiên Truyện,"Thanh Liên Kiếm Tiên Truyện kể về Thương Vân Giới, tiên ma lưỡng đạo không ngừng đấu tranh. Từ Trường Thanh xuất thân Thanh Liên kiếm cốc một lòng muốn làm Kiếm tiên, nhưng ngày vui ngắn ngủi, Ma tướng thứ chín của Thương Nguyệt Cung xâm phạm Thanh Liên kiếm cốc, ông nội hy sinh, Từ Trường Thanh được Thanh Liên Kiếm Đế công nhận, quyết chiến với Ma tướng thứ chín như bại trận. Sau đó, Côn Luân kiếm tiên Thu Vô Nhai chạy tới, đánh lui ma môn, đem Từ Trường Thanh và Mục Tử Huân đến Côn Luân. Người trên Côn Luân muốn chiếm đoạt Thanh Liên Đế Kiếm, nhưng may mắn đã bị Thu Vô Nhai ngăn cản. Từ Trường Thanh thức tỉnh ""Bia Hỗn Độn Tụ Linh"" của mình, được Thu Vô Nhai nhận làm đồ đệ. Trong cuộc thi kiếm, Từ Trường Thanh đánh bại Hạ Thanh Hầu giành được ngôi quán quân, có được tư cách vào cấm địa Côn Luân. Để tìm kiếm Bất Lão Thần Tuyền về hồi sinh ông nội, Từ Trường Thanh bước lên con đường hung hiểm của cấm địa Côn Luân.",0.35,chưa rõ,132423,Phim đang chiếu,['Cartoon'],Đang cập nhật,Trung Quốc,116,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,Mùa Xuân,2023,Anime bộ
Tuyệt Thế Võ Thần Phần 5,Phần 5 của Tuyệt Thế Võ Thần,0.57,chưa rõ,214114,Phim đang chiếu,"['Fantasy', 'Action']",Đang cập nhật,Trung Quốc,166,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,,,Anime bộ
Thập Phương Kiếm Thánh,"Thập Phương Kiếm Thánh kể về Thập Phương Thiên Vực, kẻ mạnh cầm quyền. Thiếu niên Lâm Thiên bị vị hôn thê Tiêu Vận liên thủ trưởng tử Mạc gia Mạc Sâm lừa hết gia sản, còn bị đẩy xuống vách núi. May mắn không chết, rốt cuộc hắn cũng tỉnh ngộ quyết chí báo thù hai nhà này, đoạt lại những thứ thuộc về mình. Dưới vách núi, hắn vô tình có được thanh kiếm Hắc Thiết thần bí, kiếm này ẩn chứa võ công, giúp hắn luyện thành võ đạo vô thường. Vì không đủ thực lực, hắn quyết định gia nhập Cửu Dương Võ Phủ trước, chờ sau khi đủ thực lực rồi lại báo thù. Không ngờ trưởng lão của Võ Phủ cũng là đại bá của Mạc Sâm, Lâm Thiên trong ngoài khốn đốn, nguy cơ trùng trùng.",0.76,chưa rõ,54135,Phim đang chiếu,['Cartoon'],Đang cập nhật,Trung Quốc,55,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,Mùa Xuân,2023,Anime bộ
Handa-kun,Thời trẻ trâu của Handa Sei (Barakamon),0.94,12 tập,521585,Trọn bộ,"['Shounen', 'Slice of Life', 'Comedy']",Koyama Yoshitaka,Nhật Bản,1011,HD,PG-13 - Teens 13 tuổi trở lên,Diomedea,Mùa Hạ,2016,Anime bộ
Shuffle! Memories,"Một ngày nọ, 2 cánh cổng của thế giới tiên và thế giới quỷ mở ra kết nói với thế giới loài người; từ đó tiên, quỷ và người sống hòa hợp trong cùng một thế giới. Tsuchimi Rin một học sinh cấp 3 bình thường, đang sống những ngày tháng yên bình với cô bạn thuở nhỏ Kaede. Nhưng một ngày kia, một biến cố lớn bất ngờ xảy đến với cậu.",0.73,12 tập,61504,Trọn bộ,"['Seinen', 'School', 'Romance', 'Harem', 'Fantasy', 'Ecchi', 'Drama', 'Comedy', 'Magic']",Hosoda Naoto,Nhật Bản,22,BD,PG-13 - Teens 13 tuổi trở lên,Asread,Mùa Đông,2007,Anime bộ
Shigurui,"Năm Kan'ei thứ 6(1629 sau công nguyên). Lãnh chúa Tokugawa tổ chức một cuộc tỷ kiếm, trong số những người tham gia, có hai kiếm khách hay nói cách khác hai dị nhân. Họ thật sự là ai? Không ai biết rõ câu trả lời, điều chúng ta biết là giữa họ có một mối thù sâu sắc. Câu chuyện xoay quanh hai nhân vật huyền bí này....",0.98,12 tập,46666,Trọn bộ,"['Seinen', 'Samurai', 'Drama', 'Historical', 'Martial Arts', 'Action']",Hamasaki,Nhật Bản,20,HD,PG-13 - Teens 13 tuổi trở lên,Madhouse,Mùa Hạ,2007,Anime bộ
Zombie-Loan,"Khi một người sắp chết, một cái vòng màu ghi sẽ hiện lên trên cổ họ. Và theo thời gian cái vòng sẽ đậm dần, đậm dần cho tới khi tối hẳn, lúc đó người đấy sẽ chết. Kita michiru là một cô gái sở hữu cặp mắt của Shinigami, nên có thể nhìn thấy chiếc vòng này. Vào lúc bắt gặp 2 người bạn cùng lớp Shito Tachibana và Chika Akatsuki, cô đã thấy chiếc vòng đó trên cổ họ và nhận ra sự thật là họ đã chết trong một tại nạn giao thông 6 tháng trước. Với sự giúp đỡ của văn phòng nợ Zombie Loan, họ đã có được cuộc sống thứ 2, tuy nhiên mạng sống của họ lại được mua bằng tiền nên 2 người đó đã trở thành những thợ săn Zombie, với mục đích kiếm tiền để đổi lấy tự do.",0.67,11 tập,25942,Trọn bộ,"['Shounen', 'Supernatural', 'Horror', 'Action']",Đang cập nhật,Nhật Bản,15,SD,PG-13 - Teens 13 tuổi trở lên,Xebec,Mùa Xuân,2007,Anime bộ
Sử Ma của Zero: Princesses no Rondo,"Nối tiếp phần 2, Saito và Louise trở về Tristain, nhưng dấu hiệu kết nối Saito và Louise bị biến mất. Cả 2 tranh cãi lẫn nhau khi mối quan hệ Chủ nhân và linh thú không còn nữa, đồng thời cả 2 đi tìm yêu tinh có sức mạnh đã hồi sinh Saito, và có thể là chìa khóa để giải thích sao Saito lại bị mất quyền năng Gandalfr",0.93,12 tập,640282,Trọn bộ,"['School', 'Romance', 'Harem', 'Fantasy', 'Ecchi', 'Comedy', 'Adventure', 'Magic', 'Action']",Kou Yuu,Nhật Bản,1037,HD,PG-13 - Teens 13 tuổi trở lên,J.C.Staff,Mùa Xuân,2008,Anime bộ
Anh Hùng Cương Dương,"Câu chuyện hài giả tưởng này kể về một nam sinh trung học (còn nguyên tem) bình thường tên là Yoshiro “Yocchan” Kamogawa (do Sometani thủ vai). Cuộc đời cậu đã thay đổi hoàn toàn sau một đêm, khi cậu thức dậy với khả năng đọc được suy nghĩ của người khác. Yoshiro không phải người duy nhất trong thị trấn có siêu năng lực. Teru-oichan (hẳn nhiên là vẫn chưa bị bóc mác), nhân viên của một tiệm cà phê gần trường Yoshiro, có được khả năng di chuyển đồ vật, nhưng anh chỉ toàn dùng để di chuyển sex toy. Yosuke Enomoto (chắc là vẫn còn tem), học sinh năm cuối và là cựu thành viên của đội bóng rổ, cùng trường Yoshiro, có được khả năng dịch chuyển tức thời, nhưng chỉ khi đang trong trạng thái không mảnh vải che thân.",0.4,12 tập,22163,Trọn bộ,"['Sci-Fi', 'Live Action', 'Drama', 'Comedy']",Sion Sono,Nhật Bản,21,HD,R+ 17,Đang cập nhật,Mùa Đông,2013,Anime bộ
Asatte no Houkou.,"Shouko đi du học Mỹ về và vô tình gặp lại anh bạn trai cũ đã chia tay cô, lý do là vì đứa em gái anh ta. Trong khi đó cô em Karada đó luôn mặc cảm vì cơ thể nhỏ bé của mình dù đã vào cấp 2. Cả 2 đã gặp nhau và cùng ước ở hòn đá ước, và cơ thể họ đã bị thay đổi...",0.55,12 tập,11690,Trọn bộ,"['Supernatural', 'Drama']",Sakurabi Katsushi,Nhật Bản,8,HD,PG-13 - Teens 13 tuổi trở lên,J.C.Staff,Mùa Xuân,2006,Anime bộ
Bakuryuu Sentai Abaranger,"Bakuryuu Sentai Abaranger vào 65 triệu năm về trước, một thiên thạch đã đâm vào Trái Đất giết chết toàn bộ khủng long, nhưng sự thật là, nó chia Trái Đất này thành hai phần song song: Trái Đất mà chúng ta đang sống gọi là ""Trái Đất khác"" và nơi tồn tại của Khủng long gọi là ""Trái Đất Dino"". Qua thời gian, hai loài Dragonoid và Bộc Long phát triển trên Trái Đất.  Dino nhưng họ phải chống lại Evolien, một kẻ thù xuất hiện từ trong sao chổi. Hai Trái Đất tách biệt nhau cho đến khi Asuka, một Dragonoid từ Trái Đất Dino, xuất hiện trên Trái Đất qua một cống chuyển đổi.Tuy nhiên, anh bị bám theo bởi Evoliens trong tàu vũ trụ Anamolicarus của chúng và 3 Bộc Long dưới sự kiểm soát của chúng. Các Bộc Long Tyrannosaurus, Ptreranodon, và Triceratops tấn công Tokyo, một lời gọi gửi tới 3 người có Dino Guts để chế ngự sức mạnh của 3 con thú. Cùng nhau với 3 Bộc Long đồng hành, họ trở thành các Abaranger bảo vệ thế giới khỏi bọn Evolien. Một Abaranger khác xuất hiện, có tên ""Abare Killer"" và chống lại các anh hùng trong khi bọn Evolien quan tâm đến việc hồi sinh chúa tể của chúng...",1,50 tập,41053,Trọn bộ,"['Harem', 'Demons', 'Action']",Đang cập nhật,Nhật Bản,29,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,,,Anime bộ
Thuỷ Thủ Mặt Trăng SuperS,Phần 4 của phim Bishoujo Senshi Sailor Moon,0.87,39 tập,140177,Trọn bộ,"['Shoujo', 'Romance', 'Drama', 'Magic']",Đang cập nhật,Nhật Bản,115,SD,PG-13 - Teens 13 tuổi trở lên,Toei Animation,Mùa Đông,1995,Anime bộ
Daitoshokan no Hitsujikai,Được chuyển thể từ Visual Novel cùng tên do August sản xuất năm 2013.,0.94,12 tập,232485,Trọn bộ,"['School', 'Romance', 'Harem']",Đang cập nhật,Nhật Bản,471,HD,PG-13 - Teens 13 tuổi trở lên,Hoods Entertainment,Mùa Thu,2014,Anime bộ
Ký Túc Xá Dễ Thương,"Là câu chuyện tuổi mới lớn hài hước nhưng không kém phần lãng mạn, xoay quanh Usa Kazunari, một cậu bé hiện đang sống một mình do ba mẹ cậu bị chuyển đi công tác xa. Khu tập thể Kawai-Sō nơi cậu sống lại đầy những thành phần biến thái. Thế nhưng, Ritsu Kawai, một học sinh lớp trên cậu rất quý mến cũng sống tại nơi đó…",0.96,12 tập,258015,Trọn bộ,"['School', 'Romance', 'Slice of Life', 'Comedy']",Miya Shigeyuki,Nhật Bản,467,BD,PG-13 - Teens 13 tuổi trở lên,Brain's Base,Mùa Xuân,2014,Anime bộ
Sát Thần,"Cách đây 1 tuần, đã xuất hiện 1 thằng main với cái đầu bù, răng bựa, nói chung là chẳng khác mấy thằng chát vôi vữa. Nhưng không hiểu đầu cua tai nheo thế éo nào mà nó lại cưa đc 1 ả phù thủy bằng cách dùng bí kíp ""uất ức thần chưởng"". Và từ đây, bao nhiêu cái ""uất ức"" ập đến, liệu nó có thể bắn ""chưởng"" ra được không ? Nếu không ""bắn"" ra được thì hậu quả sẽ như thế nào ?",0.93,13 tập,643273,Trọn bộ,"['Romance', 'Harem', 'Fantasy', 'Ecchi', 'Comedy', 'Magic']",Đang cập nhật,Nhật Bản,1275,BD,PG-13 - Teens 13 tuổi trở lên,Diomedea,Mùa Hạ,2012,Anime bộ
Divine Gate,"Khi Cổng Divine mở ra, thế giới sống, các tầng trời, và thế giới ngầm liên kết với nhau, mở ra một kỷ nguyên của sự hỗn loạn và xung đột giao nhau. Để lập lại trật tự, Hội đồng thế giới được hình thành. Khi hòa bình được khôi phục, Cổng Divine trở thành một truyền thuyết đô thị. Trong thế giới đó, chàng trai và cô gái coi là phù hợp do Hội đồng Thế giới đang tụ tập. Họ là những người nhằm mục đích để đạt được cổng cho các mục tiêu cá nhân của họ. Những người đạt đến cổng có thể tái tạo thế giới. Những gì nằm ngoài cổng? Khi họ đến được cánh cửa, thế giới sẽ thay đổi? Nó sẽ là quá khứ mà thay đổi, hoặc nó sẽ là tương lai? mời bạn đón xem",0.81,12 tập,159889,Trọn bộ,"['Sci-Fi', 'Fantasy', 'Action']",Abe Noriyuki,Nhật Bản,281,HD,PG-13 - Teens 13 tuổi trở lên,Studio Pierrot,Mùa Đông,2016,Anime bộ
Chuuka Ichiban! - Cậu Bé Đầu Bếp,"Tiểu đầu bếp cung đình là một bộ Anime hay về ẩm thực. Nhân vật chính của phim là Lưu Mậu Tinh, hay còn gọi là , một cậu bé 13 tuổi có quyết tâm sáng tạo và tìm tòi những bí quyết độc đáo nhất để tạo ra những món ăn ngon, phục vụ thực khách. Trên bước đường phiêu lưu học hỏi của mình, Mậu Tinh đã gặp nhiều đối thủ, và nhiều trong số đó sau này đã trở thành bạn của Mậu Tinh, đồng hành cùng Mậu Tinh trong cuộc chiến chống giới ẩm thực đen, một tổ chức lợi dụng các món ăn để thôn tính mọi người. Xuyên suốt bộ phim là cuộc hành trình vươn đến những đỉnh cao trong nghề nấu nướng của Mậu Tinh, là cuộc chiến trường kỳ giữa Mậu Tinh cùng những người bạn và giới ẩm thực đen. Đây là một bộ phim về ẩm thực rất đáng để xem, tình tiết hấp dẫn, vui nhộn và cũng rất tình cảm.",0.9,52 tập,68316,Trọn bộ,"['Shounen', 'Drama', 'Comedy', 'Action']",Annou Masami,Nhật Bản,43,HD,PG-13 - Teens 13 tuổi trở lên,Nippon Animation,Mùa Xuân,1997,Anime bộ
Sinh Tử Luân Hồi,"Kei Kurono là 1 dạng học sinh trung học điển hình, ích kỷ, ko quan tâm đến bất kỳ ai ngoài bản thân. Tuy nhiên, vì 1 sự tình cờ, cậu ta bắt buộc phải giúp người bạn hồi nhỏ của cậu ta, Katou Masaru, cứu 1 người say rượu ngã xuống đường ray của tàu, vì vậy cả cậu ta và Katou đã chết...Hoặc là không phải. Sau khi bị cán bởi tàu, họ đột ngột được chuyển đến 1 căn phòng bị khóa với những người đã chết khác. Và bây giờ mạng sống của họ bị điều khiển bởi 1 quả bóng đen bí ẩn tên là GANTZ trong căn hộ đó> Bắt buộc phải tham gia ""trò chơi"" nguy hiểm và kinh hoàng chưa từng thấy,về sau Kei nhận ra được sự sai lầm trong lối sống ích kỉ của mình và hồi tâm trở thành thủ lĩnh của đội Gantz.",0.78,13 tập,82598,Trọn bộ,"['Sci-Fi', 'Supernatural', 'Psychological', 'Ecchi', 'Drama', 'Horror', 'Action']",Đang cập nhật,Nhật Bản,56,HD,R+ - Dành cho 16 tuổi trở lên,Gonzo,Mùa Xuân,2004,Anime bộ
Gun x Sword,"Hành tinh Endless Illusion huyền bí nằm đâu đó trong vũ trụ, là thiên đường cho bọn cướp, là địa ngục với những người tốt. Trên hành tinh đó, Van - người sở hữu một trong những Armor mạnh nhất - đang trên đường đi tìm kẻ thù của mình. Trong chuyến đi, anh đã gặp được những người bạn đồng hành như: Wendy, Carmen 99... Mỗi nơi Van đi qua, đều có dấu vết của kẻ thù, mỗi nơi hé lộ ra một bí ẩn... Nhưng đằng sau những bí ẩn đó là một âm mưu khủng khiếp ngụy trang bằng một bộ mặt nhân hậu...",0.55,26 tập,20685,Trọn bộ,"['Shounen', 'Sci-Fi', 'Drama', 'Adventure', 'Mecha', 'Action']",Đang cập nhật,Nhật Bản,8,HD,PG-13 - Teens 13 tuổi trở lên,AIC A.S.T.A.,Mùa Hạ,2005,Anime bộ
Gungrave,"Brandon Heat và Harry MacDowel hai người bạn thân, họ sống một cuộc sống vô tư lự ngoài vòng pháp luật cùng với những người bạn của mình, nhưng bị kịch diễn ra sau khi tất cả những người bạn của họ đều bị mưu sát. Trên đường bỏ chạy, cả hai vô tình gia nhập vào Millennion, một tổ chức Mafia khét tiếng. Câu chuyện bắt đầu từ đây....",0.9,26 tập,21003,Trọn bộ,"['Seinen', 'Sci-Fi', 'Super Power', 'Drama', 'Action']",Đang cập nhật,Nhật Bản,10,SD,R - 17+ (bạo lực và tục tĩu),Madhouse,Mùa Thu,2003,Anime bộ
Gunslinger Girl,"Phim kể về các pé gái rất đáng yêu,mỗi bé có 1 vật bất li thân là 1 khẩu súng, các bé này đc một tổ chức bí mật bên Ý đem từ nhà xác về, gắn thêm động cơ máy móc cho nó ngầu lên, rùi đi thanh lý mấy tổ chức chuyên làm loạn đả đảo chính phủ còn chuyện xảy ra như nào coi phim sẽ rõ nghen",0.7,13 tập,20843,Trọn bộ,"['Sci-Fi', 'Psychological', 'Drama', 'Military', 'Action']",Đang cập nhật,Nhật Bản,6,HD,R - 17+ (bạo lực và tục tĩu),Madhouse,Mùa Thu,2003,Anime bộ
Cross Game,"The main character is Kou Kitamura, son of the owner of Kitamura Sports. In the same neighborhood is a batting center run by the Tsukishima family. Due to their proximity and the relationship between their businesses, the Kitamura and Tsukishima familes have been close for many years, with their children going back and forth between the two homes like extended family. Because Kou and Wakaba were the same age and always together, Aoba was jealous of all the time Kou spent with her older sister. Aoba is a natural pitcher with excellent form, and Kou secretly trains to become as good as she was, even while publicly showing little interest in baseball.",0.92,50 tập,92018,Trọn bộ,"['Shounen', 'School', 'Romance', 'Sports', 'Drama', 'Comedy']",Sekita Osamu,Nhật Bản,62,HD,PG-13 - Teens 13 tuổi trở lên,SynergySP,Mùa Xuân,2009,Anime bộ
Crystal Blaze,"Văn phòng thám tử S&A là dịch vụ thám tử nổi tiếng tại Thị trấn Lags, nằm ở ngoại ô thành phố Diver. Shuu từng là một cảnh sát hình sự nổi tiếng luôn đấu tranh vì công lý. Anh đã chống lại chính quyền và mất đi mọi thứ. Bây giờ, anh sống an nhàn cùng trợ thủ đắc lực (Akira) và hai phụ tá (Ayaka và Manami) nhưng lúc nào cũng cảm thấy trống rỗng. Một ngày nọ, một sự việc đã đưa Shuu gặp gỡ cô gái bí ẩn, Sara, người không có chút ký ức nào về quá khứ. Khi Shuu điều tra vụ án này, một sự thật khủng khiếp về thánh phố này đang dần được hé mở...",0.78,12 tập,12392,Trọn bộ,"['Sci-Fi', 'Action']",Kase Mitsuko,Nhật Bản,1,HD,R - 17+ (bạo lực và tục tĩu),Đang cập nhật,Mùa Xuân,2008,Anime bộ
Thám Tử Sói,"Hiroshi Inaba là một thám tử tư. Cậu ta là 1 sinh vật được tạo ra khi nối các gien của con người và sói với nhau. Cậu thu thập thông tin về 1 người chỉ bằng cách nếm và kiểm tra tóc của họ. Cậu có thể chuyển đổi thành dạng chó sói, cũng như có sức mạnh đặc biệt và các hình thức tấn công khác nhau, tùy vào loại hay màu tóc cậu ăn. Cậu điều hành văn phòng thám tử tư của mình với anh chàng thư kí Yuuta (một S chính hiệu, chuyên ăn mặc như con gái nên toàn bị nhầm giới tính), và Kei làm việc bán thời gian tại đó. Bộ ba này, luôn cố gắng bắt giáo sư dê ""độc ác"", Don Valentino, cùng bè lũ tay sai của hắn. Thế nhưng những cuộc truy đuổi ấy lại hóa ra thất bại không thể nào thảm hại hơn được nữa.",0.93,12 tập,127111,Trọn bộ,"['Shounen', 'Supernatural', 'Comedy', 'Mystery', 'Action']",Mitsunaka Susumu,Nhật Bản,250,HD,PG-13 - Teens 13 tuổi trở lên,Zexcs,Mùa Đông,2013,Anime bộ
